buy_date,sell_date,sell_reason,symbol,symbol_name,strategy,profit_pct,raw_long,idx_return,idx_return_str,profit_pct_str,raw_long_str
2020-01-01,2020-03-27,止盈(60日),00700,腾讯控股(00700),单边多头 (满仓),0.01756253326237351,0.01756253326237351,-0.1686795198859132,-16.87%(恒生),1.76%,1.76%
2020-01-01,2020-03-16,止损(-15%),03690,美团(03690),单边多头 (满仓),-0.1941176470588235,-0.1941176470588235,-0.18357220651548,-18.36%(恒生),-19.41%,-19.41%
2020-01-01,2020-03-27,止盈(60日),01211,比亚迪股份(01211),单边多头 (满仓),-0.012853470437017995,-0.012853470437017995,-0.1686795198859132,-16.87%(恒生),-1.29%,-1.29%
2020-01-01,2020-04-02,止盈(60日),600519,贵州茅台(600519),单边多头 (满仓),0.015071983301102024,0.015071983301102024,-0.09385713270096761,-9.39%(沪深),1.51%,1.51%
2020-01-01,2020-04-02,止盈(60日),300244,迈瑞医疗(300244),单边多头 (满仓),0.041405873856523806,0.041405873856523806,0.058375570057751125,5.84%(创业板),4.14%,4.14%
2020-01-01,2020-02-03,止损(-15%),601888,中国中免(601888),单边多头 (满仓),-0.18539736713798155,-0.18539736713798155,-0.10506050324784433,-10.51%(沪深),-18.54%,-18.54%
2020-01-01,2020-03-23,止损(-15%),002415,海康威视(002415),单边多头 (满仓),-0.21146025878003705,-0.21146025878003705,-0.1434100824754225,-14.34%(沪深),-21.15%,-21.15%
2020-01-01,2020-03-13,止损(-15%),601318,中国平安(601318),单边多头 (满仓),-0.15587129126619312,-0.15587129126619312,-0.054845149003396716,-5.48%(沪深),-15.59%,-15.59%
2020-01-01,2020-02-28,止损(-15%),00762,中国联通(00762),单边多头 (满仓),-0.16326530612244888,-0.16326530612244888,-0.07502606518396919,-7.50%(恒生),-16.33%,-16.33%
2020-03-03,2020-03-16,止损(-15%),00981,中芯国际(00981),Alpha对冲 (做空恒生),-0.03808735422814673,-0.20318725099601595,-0.1270125425397225,-12.70%(恒生),-3.81%,-20.32%
2020-03-09,2020-03-23,止损(-15%),300750,宁德时代(300750),单边多头 (满仓),-0.19560151471016604,-0.19560151471016604,-0.15071004569393898,-15.07%(创业板),-19.56%,-19.56%
2020-03-09,2020-03-23,止损(-15%),002475,立讯精密(002475),单边多头 (满仓),-0.18349206349206354,-0.18349206349206354,-0.1311247931370223,-13.11%(沪深),-18.35%,-18.35%
2020-03-30,2020-06-29,止盈(60日),00700,腾讯控股(00700),Alpha对冲 (做空恒生),0.10303091900497598,0.26168224299065423,0.05562040498070228,5.56%(恒生),10.30%,26.17%
2020-03-30,2020-06-29,止盈(60日),01211,比亚迪股份(01211),Alpha对冲 (做空恒生),0.21968353184548844,0.4949874686716792,0.05562040498070228,5.56%(恒生),21.97%,49.50%
2020-04-03,2020-07-06,止盈(60日),600519,贵州茅台(600519),Alpha对冲 (做空沪深),0.06908633145553675,0.3930746078889077,0.2549019449778342,25.49%(沪深),6.91%,39.31%
2020-04-03,2020-07-06,止盈(60日),300244,迈瑞医疗(300244),单边多头 (满仓),0.4797235023041475,0.4797235023041475,0.32244024546959293,32.24%(创业板),47.97%,47.97%
2020-05-04,2020-07-30,止盈(60日),601888,中国中免(601888),单边多头 (满仓),1.6299527444565614,1.6299527444565614,0.20399254355604313,20.40%(沪深),163.00%,163.00%
2020-05-29,2020-08-25,止盈(60日),00762,中国联通(00762),Alpha对冲 (做空恒生),0.13569544031381126,0.39013452914798213,0.11874364852035961,11.87%(恒生),13.57%,39.01%
2020-06-12,2020-09-08,止盈(60日),601318,中国平安(601318),单边多头 (满仓),0.0568517909957278,0.0568517909957278,0.194007616191172,19.40%(沪深),5.69%,5.69%
